account_name,example_properties_or_brands,primary_region,tier,segment,property_count_band,demand_sensitivity,likely_buying_center,hypothesized_pain,primary_value_angle,contact_source_needed,source_url,verification_status,next_action
HMIホテルグループ,HMI運営ホテル群,九州・全国,Tier 1,operator / full service / resort,large,leisure / event / group,HQ / Area Manager,運営施設ごとのRevenue運用差を縮めたい,standardized workflow,company site,https://www.hmi.co.jp/,needs verification,九州施設と窓口を確認
タップホスピタリティラボ沖縄,ホテル運営・DX関連事業,沖縄・九州周辺,Tier 2,operator / hospitality tech,medium,leisure / inbound,Executive / Partner lead,ホテルDX文脈でRevenue Intelligence提案と親和性がある,partner channel,company site,https://www.tap-ic.co.jp/,needs verification,提携可能性を確認
FJホテルズ,ホテルフォルツァ / ザ・ベーシックス福岡ほか,福岡・全国,Tier 1,city hotel / lifestyle,medium,business / event / inbound,HQ / GM / Revenue,福岡中心部で比較対象施設の動きに反応したい,rate opportunity workflow,company site / LinkedIn,https://www.hotelforza.jp/,needs verification,運営会社情報を確認
西部ガス都市開発,THE BASICS FUKUOKA関連,福岡,Tier 2,city hotel / real estate,small,business / event,Owner / Asset / GM,ホテル資産のRevenue視点で市場変化を把握したい,asset visibility,company site,https://www.sg-ud.com/,needs verification,ホテル運営主体と窓口を確認
HULICホテルマネジメント,THE GATE HOTEL 福岡 by HULICほか,福岡・全国,Tier 1,city hotel,medium,inbound / event / business,HQ / GM / Revenue,都市型ハイグレードホテルで競合変化を見たい,revenue intelligence,company site,https://www.gate-hotel.jp/,needs verification,福岡施設の開業・運営窓口を確認
カンデオ・ホスピタリティ・マネジメント,CANDEO HOTELS,九州・全国,Tier 1,business hotel / upper midscale,large,business / event,HQ Revenue / Area Manager,全国・九州の施設で需要変化と価格機会を標準運用したい,portfolio alerts,company site,https://www.candeohotels.com/,needs verification,九州施設を確認
ワシントンホテル,ワシントンホテルプラザ / R&Bホテル,九州・全国,Tier 1,business hotel,large,business / event,HQ / Area Manager,ビジネスホテルで日次の料金見直しタイミングを揃えたい,rate workflow,company site / IR,https://www.washingtonhotel.co.jp/,needs verification,九州施設と本部窓口を確認
グリーンリッチホテルズ,グリーンリッチホテル,九州・全国,Tier 1,business hotel,large,business / event / regional,HQ / Area Manager,九州発チェーンでエリア別の競合変化を管理したい,regional portfolio workflow,company site,https://greenrichhotels.jp/,needs verification,運営会社と施設一覧を確認
ベッセルホテルズ,ベッセルホテル / レフ / カンパーナ,九州・全国,Tier 1,business hotel / family leisure,large,leisure / event / business,HQ Revenue / Area Manager,曜日・イベント需要と家族需要の料金判断を管理したい,demand alert workflow,company site,https://www.vessel-hotel.jp/,needs verification,九州施設を確認
リソルホテル,ホテルリソルトリニティ博多ほか,福岡・全国,Tier 2,city hotel / business,medium,business / leisure / event,HQ / GM,中洲・博多エリアで競合価格変化に対応したい,comp-set alert,company site,https://www.resol-hotel.jp/,needs verification,福岡施設の窓口確認
ホテルモントレ,ホテルモントレ福岡 / ラ・スール福岡ほか,福岡・全国,Tier 1,city hotel / wedding,medium,event / inbound / leisure,HQ Revenue / GM,婚礼・イベント・宿泊販売の需要変化をつなげたい,event + rate intelligence,company site,https://www.hotelmonterey.co.jp/,needs verification,福岡施設と本部窓口を確認
東急ホテルズ,博多エクセルホテル東急ほか,福岡・全国,Tier 1,city hotel,large,business / inbound / event,HQ Revenue / GM,都市型ホテルで需要期の料金機会を把握したい,rate opportunity workflow,company site,https://www.tokyuhotels.co.jp/,needs verification,九州施設を確認
プリンスホテルズ&リゾーツ,プリンスホテル / 西武系施設,九州・全国,Tier 1,full service / resort,large,leisure / event,HQ Revenue / Area Manager,リゾート・都市施設で需要変化と競合動向を横断管理したい,portfolio revenue intelligence,company site,https://www.princehotels.co.jp/,needs verification,九州対象施設を確認
星野リゾート,OMO / 界 / リゾナーレ等,九州・全国,Tier 1,resort / city / ryokan,large,leisure / inbound / event,HQ / Area Manager,施設別の市場変化と価格機会を独自運用に接続したい,custom workflow,company site,https://www.hoshinoresorts.com/,needs verification,九州施設と接触導線を確認
森トラスト・ホテルズ&リゾーツ,ラフォーレ / 翠嵐ほか,九州・全国,Tier 1,full service / resort,large,leisure / event,HQ Revenue / Asset,高単価施設で需要変化と価格判断を資産視点で見たい,asset revenue intelligence,company site,https://www.mt-hr.com/,needs verification,九州関連施設を確認
カラカミ観光,リゾートホテル運営,九州・全国,Tier 2,resort hotel,medium,leisure / seasonal,HQ / GM,季節需要と競合変化への反応が重要,demand seasonality workflow,company site,https://karakami-kankou.co.jp/,needs verification,九州接点の有無を確認
大江戸温泉物語ホテルズ&リゾーツ,温泉宿・リゾートホテル,九州・全国,Tier 1,resort / ryokan,large,leisure / seasonal,HQ Revenue / Area Manager,季節・イベント需要と価格機会を施設横断で管理したい,portfolio demand alerts,company site,https://www.ooedoonsen.jp/,needs verification,九州施設を確認
マイステイズ・ホテル・マネジメント,アートホテル / フレックステイ等,九州・全国,Tier 1,multi-brand operator,large,business / leisure / event,HQ Revenue / Area Manager,多ブランド運営でアラート条件を標準化したい,workflow standardization,company site,https://corporate.mystays.com/,needs verification,運営法人窓口を確認
アゴーラ・ホスピタリティーズ,アゴーラ福岡山の上ホテル等,福岡・全国,Tier 2,full service / resort,medium,leisure / event / banquet,HQ / GM,イベント・宴会・宿泊需要を販売判断に接続したい,event workflow,company site,https://www.agora.jp/,needs verification,福岡施設状況を確認
プレミアホテルグループ,プレミアホテル / CABIN等,九州・全国,Tier 1,multi-brand hotel,large,business / leisure,HQ Revenue / Area Manager,複数ブランドで需要変化と競合料金を横断管理したい,portfolio intelligence,company site,https://premierhotel-group.com/,needs verification,九州施設を確認
レンブラントホテルグループ,レンブラントホテル等,九州・全国,Tier 2,city hotel / resort,medium,business / leisure,HQ / GM,地域需要と競合変化を日次運用に入れたい,rate alert workflow,company site,https://rembrandt-group.com/,needs verification,九州施設の有無を確認
ホテルJALシティ / オークラ ニッコー ホテルズ,ホテルJALシティ福岡 天神ほか,福岡・全国,Tier 1,city hotel / full service,large,business / inbound / event,HQ Revenue / GM,ブランド施設で競合価格と需要変化の確認を効率化したい,rate intelligence,company site,https://www.okura-nikko.com/,needs verification,福岡施設の運営体制を確認
ユニゾホテル,ユニゾホテル,福岡・全国,Tier 2,business hotel,medium,business / event,HQ / GM,都市型ビジネスホテルで料金判断の手作業を減らしたい,comp-set workflow,company site,https://www.unizo-hotel.co.jp/,needs verification,福岡・九州施設状況を確認
The COURT,EN HOTEL / コートホテル等,九州・全国,Tier 2,business hotel / operator,medium,business / leisure,HQ / Area Manager,複数施設で日次の需要変化を標準確認したい,portfolio workflow,company site,https://www.thecourt.co.jp/,needs verification,九州施設を確認
エスペリアホテル,エスペリアホテル博多ほか,福岡・九州,Tier 2,business hotel,small,business / event,Owner / GM,博多駅周辺の競合料金変化を日次で確認したい,local comp-set alert,company site,https://www.s-peria.com/,needs verification,運営法人と窓口を確認
ホテルWBFグループ,ホテルWBF,九州・全国,Tier 2,business / city hotel,medium,business / inbound,HQ / GM,都市型施設で料金機会の見落としを減らしたい,rate opportunity workflow,company site,https://www.hotelwbf.com/,needs verification,現運営体制を確認
スマイルホテル / ホスピタリティオペレーションズ,スマイルホテル,九州・全国,Tier 1,business hotel,large,business / event,HQ Revenue / Area Manager,多施設で価格確認と対応履歴を標準化したい,workflow standardization,company site,https://www.hospitality-operations.co.jp/,needs verification,九州施設を確認
ホテルリブマックス,ホテルリブマックス,福岡・九州・全国,Tier 2,business hotel,large,business / event,HQ / Area Manager,価格変化が速い市場で日次アラートが必要,rate alert,company site,https://www.hotel-livemax.com/,needs verification,法人窓口を確認
サンルート / 相鉄ホテルズ,ホテルサンルート系施設,九州・全国,Tier 2,business hotel,large,business / event,HQ / Area Manager,チェーン施設で競合料金の見方を統一したい,portfolio rate workflow,company site,https://sotetsu-hotels.com/,needs verification,九州施設の有無を確認
東急ステイ,東急ステイ福岡天神 / 博多,福岡・全国,Tier 1,extended stay / business hotel,medium,business / inbound,HQ Revenue / GM,中長期滞在とイベント需要の価格判断を分けたい,demand segmentation alerts,company site,https://www.tokyustay.co.jp/,needs verification,福岡2施設の窓口確認
ホテル法華クラブグループ,ホテル法華クラブ福岡ほか,福岡・全国,Tier 2,business hotel,medium,business / event,HQ / GM,地域イベントと法人需要で料金判断を早めたい,local demand alerts,company site,https://www.hokke.co.jp/,needs verification,本部・九州施設を確認
東邦ホテル,福岡市内ホテル・宿泊施設運営,福岡,Tier 2,local operator / apartment hotel,medium,inbound / leisure / event,Owner / Operations,地域内複数施設の販売条件と需要変化をまとめたい,local portfolio workflow,company site,https://toho-hotel.jp/,needs verification,運営法人と施設数を確認
MUSUBI HOTEL,福岡市内宿泊施設,福岡,Tier 3,apartment hotel / local operator,small,inbound / leisure,Owner / Operations,小規模複数施設でイベント需要への反応を整えたい,lightweight alert workflow,company site,https://musubi-hotel.jp/,needs verification,法人窓口を確認
グームホテル,福岡市内アパートメントホテル,福岡,Tier 3,apartment hotel / local operator,small,inbound / leisure,Owner / Operations,福岡市内の需要変化と価格設定を少人数で回したい,local demand workflow,company site,https://goom-hotel.com/,needs verification,運営会社と接触導線を確認
